participant_id,group,gender,age,num_sessions,total_recording_min,total_probes,total_responses,focused_responses,mind_wandering_responses,involuntary_responses,focus_ratio,mind_wandering_ratio
sub-001,expert,M,32,2,90.7,55,133,85,48,0,0.639,0.361
sub-002,expert,M,35,2,76.0,54,138,114,24,0,0.826,0.174
sub-003,expert,F,41,2,61.5,31,74,44,22,0,0.595,0.297
sub-004,expert,M,29,2,50.5,32,46,38,8,0,0.826,0.174
sub-005,expert,F,34,2,87.2,49,99,58,40,0,0.586,0.404
sub-006,expert,M,32,2,75.5,47,93,64,28,0,0.688,0.301
sub-007,expert,M,32,2,91.1,52,105,50,27,0,0.476,0.257
sub-008,expert,M,32,1,45.4,25,70,27,25,0,0.386,0.357
sub-009,expert,M,43,2,90.7,64,101,41,21,0,0.406,0.208
sub-010,expert,M,33,2,91.3,51,112,50,58,0,0.446,0.518
sub-011,expert,M,62,2,90.6,52,155,100,25,0,0.645,0.161
sub-012,expert,M,65,1,51.3,28,84,8,56,0,0.095,0.667
sub-013,novice,F,47,1,45.3,25,45,30,9,0,0.667,0.2
sub-014,novice,F,52,1,45.4,24,37,23,11,0,0.622,0.297
sub-015,novice,F,78,1,45.3,25,59,27,32,0,0.458,0.542
sub-016,novice,M,77,2,42.5,23,53,20,27,0,0.377,0.509
sub-017,novice,F,32,2,91.8,57,98,50,36,0,0.51,0.367
sub-018,novice,F,n/a,2,89.7,56,142,90,51,0,0.634,0.359
sub-019,novice,F,42,1,60.3,36,68,33,25,0,0.485,0.368
sub-020,novice,F,41,1,60.2,42,68,25,30,0,0.368,0.441
sub-021,novice,F,41,1,55.4,37,102,35,38,0,0.343,0.373
sub-022,novice,F,31,3,67.3,39,66,45,20,0,0.682,0.303
sub-023,novice,M,50,2,91.3,37,73,26,40,0,0.356,0.548
sub-024,novice,F,38,1,60.5,42,122,48,53,0,0.393,0.434
